[2026-07-19 21:57:05] [lime.py:203] [INFO] -> 

================================================================================
[2026-07-19 21:57:05] [lime.py:204] [INFO] -> === NUEVA ITERACIÓN LIME ===
[2026-07-19 21:57:05] [lime.py:205] [INFO] -> Fecha de Ejecución: 2026-07-19 21:57:05
[2026-07-19 21:57:05] [lime.py:206] [INFO] -> Modelo: XGB | Dataset Tag: full
[2026-07-19 21:57:05] [lime.py:207] [INFO] -> Parámetros: surrogate='ridge', seed=161803, n_samples=1000, kernel_width=None
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 32/1409 procesado: distance=0.2906, spearman_rho=0.8961, lipschitz=0.1788, fidelity=0.8695.
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 33/1409 procesado: distance=0.3126, spearman_rho=0.8156, lipschitz=0.2949, fidelity=0.8623.
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 34/1409 procesado: distance=0.3298, spearman_rho=0.8857, lipschitz=0.1733, fidelity=0.8699.
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 35/1409 procesado: distance=0.2218, spearman_rho=0.8883, lipschitz=0.2518, fidelity=0.8547.
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 36/1409 procesado: distance=0.1823, spearman_rho=0.9065, lipschitz=0.2564, fidelity=0.9064.
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 37/1409 procesado: distance=0.2767, spearman_rho=0.9506, lipschitz=0.0892, fidelity=0.8506.
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 38/1409 procesado: distance=0.3217, spearman_rho=0.8727, lipschitz=0.1978, fidelity=0.8801.
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 39/1409 procesado: distance=0.2883, spearman_rho=0.8922, lipschitz=0.1870, fidelity=0.8607.
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 40/1409 procesado: distance=0.2377, spearman_rho=0.9468, lipschitz=0.1120, fidelity=0.8829.
[2026-07-19 21:57:06] [lime.py:247] [INFO] -> [LIME] Vecino 41/1409 procesado: distance=0.2676, spearman_rho=0.9026, lipschitz=0.1820, fidelity=0.8469.
