fold,dataset_tag,dt_prauc,dt_precision,dt_recall,dt_threshold,xgb_prauc,xgb_precision,xgb_recall,xgb_threshold
0,clean,0.3865232940862101,0.27998789895628495,0.7851537645811241,0.5,0.42300659601025525,0.0,0.0,0.5
1,clean,0.3927244997545359,0.27989878693160675,0.7978362324989393,0.5,0.4265037033985363,0.0,0.0,0.5
2,clean,0.3782064118084201,0.27618274411395677,0.793805685193042,0.5,0.4051315601892531,0.0,0.0,0.5
3,clean,0.3932131867102318,0.2804665606301598,0.7855324565125159,0.5,0.43185603614504164,0.0,0.0,0.5
4,clean,0.3809237871056165,0.278525497233438,0.7901994060246076,0.5,0.4136480876015789,0.0,0.0,0.5
