number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_criterion,params_max_depth,params_max_features,params_min_impurity_decrease,params_min_samples_leaf,params_min_samples_split,state
30,0.3078937644006468,2026-06-13 23:12:23.713917,2026-06-13 23:12:24.576196,0 days 00:00:00.862279,0.0008336553466285427,entropy,5,0.44286386274748646,0.0032313749697506396,2,2,COMPLETE
31,0.36364991015563075,2026-06-13 23:12:24.576914,2026-06-13 23:12:25.706673,0 days 00:00:01.129759,0.00018096455623730495,entropy,6,0.41522052350659056,1.7786916136287352e-06,1,16,COMPLETE
32,0.3478462094980755,2026-06-13 23:12:25.709085,2026-06-13 23:12:26.799587,0 days 00:00:01.090502,0.0003464303075955591,entropy,7,0.5026518987532604,0.0005804534471209593,3,15,COMPLETE
33,0.36641971611186586,2026-06-13 23:12:26.800278,2026-06-13 23:12:27.956598,0 days 00:00:01.156320,2.8058090605431616e-05,entropy,6,0.4358080771632265,4.1074301962366454e-06,1,14,COMPLETE
34,0.27562989026291423,2026-06-13 23:12:27.957156,2026-06-13 23:12:28.661775,0 days 00:00:00.704619,0.001231577059435887,gini,15,0.5366191421777509,0.002373638058613088,2,13,COMPLETE
35,0.32775515684127277,2026-06-13 23:12:28.662268,2026-06-13 23:12:29.586868,0 days 00:00:00.924600,0.0006347041927593804,entropy,4,0.43691904582265895,0.0005809784764230941,5,17,COMPLETE
36,0.3156267431678591,2026-06-13 23:12:29.587441,2026-06-13 23:12:30.626235,0 days 00:00:01.038794,0.000895275571358375,entropy,9,0.49853173537260914,0.0012810231696329995,2,19,COMPLETE
37,0.36361381775399065,2026-06-13 23:12:30.626739,2026-06-13 23:12:31.957550,0 days 00:00:01.330811,5.857684950843746e-06,entropy,8,0.6696818585957646,0.0003506991939420269,4,13,COMPLETE
38,0.25670926531598093,2026-06-13 23:12:31.958100,2026-06-13 23:12:32.741114,0 days 00:00:00.783014,0.0004329822606757441,gini,5,0.6155554258021524,0.006819376947702112,3,14,COMPLETE
39,0.24455540115238888,2026-06-13 23:12:32.743881,2026-06-13 23:12:33.537301,0 days 00:00:00.793420,0.004196819619840163,entropy,7,0.7074460096188974,0.00978961498170898,10,19,COMPLETE
40,0.2539447819495364,2026-06-13 23:12:33.537910,2026-06-13 23:12:34.357250,0 days 00:00:00.819340,0.0028368904071603253,gini,6,0.4353825028331551,0.0009756277511397089,6,7,COMPLETE
41,0.35990451717936156,2026-06-13 23:12:34.357803,2026-06-13 23:12:35.651199,0 days 00:00:01.293396,1.1866113673416692e-05,entropy,8,0.6694288699273648,0.00044781020274963586,4,13,COMPLETE
42,0.3412830077363655,2026-06-13 23:12:35.651771,2026-06-13 23:12:36.922299,0 days 00:00:01.270528,0.0002663817369591967,entropy,10,0.755556727214655,0.0015698414205941212,2,11,COMPLETE
43,0.3698886345370994,2026-06-13 23:12:36.922768,2026-06-13 23:12:38.363803,0 days 00:00:01.441035,5.7732516081125055e-06,entropy,7,0.8001633831644767,0.0003729669934929341,1,16,COMPLETE
44,0.22446348679781897,2026-06-13 23:12:38.364281,2026-06-13 23:12:39.308731,0 days 00:00:00.944450,0.001012395808170302,entropy,7,0.8374370506359545,0.009021943474067914,1,16,COMPLETE
45,0.35226203316631866,2026-06-13 23:12:39.309446,2026-06-13 23:12:40.642901,0 days 00:00:01.333455,0.0005442060253498656,entropy,5,0.7828501334303863,0.0008840178400493484,1,17,COMPLETE
46,0.37549064743582933,2026-06-13 23:12:40.643931,2026-06-13 23:12:42.359020,0 days 00:00:01.715089,0.00023595244307171904,entropy,6,0.9005116283930402,7.635962673333178e-05,2,15,COMPLETE
47,0.3277443384307587,2026-06-13 23:12:42.359573,2026-06-13 23:12:43.718235,0 days 00:00:01.358662,0.0007703557865146734,entropy,7,0.895436474923653,0.0019045431904266608,15,15,COMPLETE
48,0.3626835323676734,2026-06-13 23:12:43.719068,2026-06-13 23:12:45.281932,0 days 00:00:01.562864,0.000237245679460043,entropy,5,0.9428307197259189,0.0004787838885389591,3,14,COMPLETE
49,0.273052727542511,2026-06-13 23:12:45.282622,2026-06-13 23:12:46.363922,0 days 00:00:01.081300,0.0005324040677575695,entropy,4,0.9019010783779732,0.005098416781123223,2,20,COMPLETE
50,0.34715550046964,2026-06-13 23:12:46.364357,2026-06-13 23:12:47.864198,0 days 00:00:01.499841,0.0009884451822745148,entropy,12,0.8697107234151158,0.0009396911823108131,5,18,COMPLETE
51,0.3778822074728644,2026-06-13 23:12:47.864589,2026-06-13 23:12:49.664673,0 days 00:00:01.800084,0.00018610306837461705,entropy,6,0.9482836228998085,1.2231372779801248e-05,2,16,COMPLETE
52,0.373229797019229,2026-06-13 23:12:49.665178,2026-06-13 23:12:51.409779,0 days 00:00:01.744601,0.0001715387722011702,entropy,6,0.9663946260215086,0.00033021166508515965,2,15,COMPLETE
53,0.37229304873901264,2026-06-13 23:12:51.410385,2026-06-13 23:12:53.138677,0 days 00:00:01.728292,0.00021191786349628126,entropy,14,0.9544018228285257,0.00036282941271954664,19,17,COMPLETE
