[2026-07-12 19:29:44] [Ensayo] A new study created in memory with name: dt_optimization
[2026-07-12 19:30:03] [Ensayo] Trial 17 finished with value: 0.34108282453844185 and parameters: {'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 17, 'min_samples_leaf': 3, 'max_features': 0.8349504067641271, 'min_impurity_decrease': 0.0012063814417377808, 'ccp_alpha': 0.002211199637898717}. Best is trial 15 with value: 0.36536702735459403.
[2026-07-12 19:30:05] [Ensayo] Trial 18 finished with value: 0.31844765648658563 and parameters: {'criterion': 'gini', 'max_depth': 14, 'min_samples_split': 13, 'min_samples_leaf': 11, 'max_features': 0.9022630587875788, 'min_impurity_decrease': 4.80558853132135e-05, 'ccp_alpha': 0.0020642370023749848}. Best is trial 15 with value: 0.36536702735459403.
[2026-07-12 19:30:06] [Ensayo] Trial 19 finished with value: 0.32703506840431257 and parameters: {'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 14, 'min_samples_leaf': 16, 'max_features': 0.6514099137313888, 'min_impurity_decrease': 0.002705300738594157, 'ccp_alpha': 0.0008589622845524018}. Best is trial 15 with value: 0.36536702735459403.
[2026-07-12 19:30:07] [Ensayo] Trial 20 finished with value: 0.32548722769706256 and parameters: {'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 17, 'min_samples_leaf': 7, 'max_features': 0.7588531911444814, 'min_impurity_decrease': 0.004903635988924296, 'ccp_alpha': 0.0027213506481765424}. Best is trial 15 with value: 0.36536702735459403.
[2026-07-12 19:30:08] [Ensayo] Trial 21 finished with value: 0.35519660107776385 and parameters: {'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 10, 'min_samples_leaf': 8, 'max_features': 0.5166925851138677, 'min_impurity_decrease': 0.0011397379774624574, 'ccp_alpha': 0.000628905585599101}. Best is trial 15 with value: 0.36536702735459403.
[2026-07-12 19:30:09] [Ensayo] Trial 22 finished with value: 0.3440340979792448 and parameters: {'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 10, 'min_samples_leaf': 11, 'max_features': 0.6360539970088335, 'min_impurity_decrease': 0.0013210745124488871, 'ccp_alpha': 0.0015162158274240063}. Best is trial 15 with value: 0.36536702735459403.
[2026-07-12 19:30:11] [Ensayo] Trial 23 finished with value: 0.38183029867920126 and parameters: {'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 0.5216845702664844, 'min_impurity_decrease': 1.0688685127469965e-05, 'ccp_alpha': 0.00039954049998746364}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:12] [Ensayo] Trial 24 finished with value: 0.36234674747918094 and parameters: {'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 0.5173829867987036, 'min_impurity_decrease': 1.1035388902618813e-05, 'ccp_alpha': 0.0010587083520885569}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:13] [Ensayo] Trial 25 finished with value: 0.3432078215075995 and parameters: {'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.7492352330376248, 'min_impurity_decrease': 0.00236540855793746, 'ccp_alpha': 0.0005011637178897178}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:14] [Ensayo] Trial 26 finished with value: 0.32325860521618854 and parameters: {'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 0.886652218901439, 'min_impurity_decrease': 0.000864931596346409, 'ccp_alpha': 0.0017883943753848296}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:15] [Ensayo] Trial 27 finished with value: 0.3402601520498344 and parameters: {'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 17, 'min_samples_leaf': 15, 'max_features': 0.4594605858664265, 'min_impurity_decrease': 0.0014203609953381078, 'ccp_alpha': 0.0006219820268703448}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:16] [Ensayo] Trial 28 finished with value: 0.3236241973528028 and parameters: {'criterion': 'entropy', 'max_depth': 13, 'min_samples_split': 12, 'min_samples_leaf': 12, 'max_features': 0.6582791828621832, 'min_impurity_decrease': 0.003111681176326033, 'ccp_alpha': 0.0010964592651923567}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:18] [Ensayo] Trial 29 finished with value: 0.35480432892004243 and parameters: {'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 10, 'max_features': 0.6956950779940942, 'min_impurity_decrease': 0.0005195726887914191, 'ccp_alpha': 0.001520921922875335}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:19] [Ensayo] Trial 30 finished with value: 0.31461808790669704 and parameters: {'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 0.9437923332434378, 'min_impurity_decrease': 0.004305056487117317, 'ccp_alpha': 0.0003442796819269528}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:21] [Ensayo] Trial 31 finished with value: 0.35560350149150527 and parameters: {'criterion': 'entropy', 'max_depth': 12, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 0.5061734879356143, 'min_impurity_decrease': 5.638678728650091e-05, 'ccp_alpha': 0.0009518560083889499}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:22] [Ensayo] Trial 32 finished with value: 0.3693621402763162 and parameters: {'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5436589572290482, 'min_impurity_decrease': 2.4141990577376857e-05, 'ccp_alpha': 0.0007481420159039388}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:24] [Ensayo] Trial 33 finished with value: 0.3518754899838073 and parameters: {'criterion': 'entropy', 'max_depth': 9, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 0.5517406692511897, 'min_impurity_decrease': 0.0016196590349892783, 'ccp_alpha': 0.000786669674788988}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:25] [Ensayo] Trial 34 finished with value: 0.3658153081970851 and parameters: {'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.4077663466826724, 'min_impurity_decrease': 0.00060661846672923, 'ccp_alpha': 7.723225594999004e-05}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:26] [Ensayo] Trial 35 finished with value: 0.3699025688304241 and parameters: {'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 4, 'min_samples_leaf': 1, 'max_features': 0.4648825404580556, 'min_impurity_decrease': 0.0005314405180561856, 'ccp_alpha': 0.00020627313627624992}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:26] [Ensayo] Trial 36 finished with value: 0.30492863630929545 and parameters: {'criterion': 'gini', 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 0.41841586940182557, 'min_impurity_decrease': 0.0025779703792249697, 'ccp_alpha': 9.282635576916002e-05}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:27] [Ensayo] Trial 37 finished with value: 0.3582274418197439 and parameters: {'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.47079857052694435, 'min_impurity_decrease': 0.0007207721989904137, 'ccp_alpha': 0.0002785170064817582}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:28] [Ensayo] Trial 38 finished with value: 0.3472780230165388 and parameters: {'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 0.4237074172654768, 'min_impurity_decrease': 0.0017503132862091671, 'ccp_alpha': 7.28695333153196e-06}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:29] [Ensayo] Trial 39 finished with value: 0.2997330672250212 and parameters: {'criterion': 'gini', 'max_depth': 9, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 0.48312591121757686, 'min_impurity_decrease': 0.007262613345081773, 'ccp_alpha': 0.00042253826202122153}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:30] [Ensayo] Trial 40 finished with value: 0.3630746822402274 and parameters: {'criterion': 'entropy', 'max_depth': 8, 'min_samples_split': 4, 'min_samples_leaf': 3, 'max_features': 0.4015129352698459, 'min_impurity_decrease': 0.0006243936192094718, 'ccp_alpha': 0.0005794492035719824}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:31] [Ensayo] Trial 41 finished with value: 0.36320260904028423 and parameters: {'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 0.5405169728100621, 'min_impurity_decrease': 0.0005500703449717866, 'ccp_alpha': 0.0007674375487765138}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:32] [Ensayo] Trial 42 finished with value: 0.3582361679854093 and parameters: {'criterion': 'entropy', 'max_depth': 11, 'min_samples_split': 6, 'min_samples_leaf': 19, 'max_features': 0.608824308110397, 'min_impurity_decrease': 0.0010455614563803293, 'ccp_alpha': 0.0003262668057734877}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:33] [Ensayo] Trial 43 finished with value: 0.3716507846781224 and parameters: {'criterion': 'entropy', 'max_depth': 7, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 0.4426587272475585, 'min_impurity_decrease': 0.0005234430323813542, 'ccp_alpha': 5.799049479111081e-05}. Best is trial 23 with value: 0.38183029867920126.
[2026-07-12 19:30:34] [Ensayo] Trial 44 finished with value: 0.29344710540132724 and parameters: {'criterion': 'entropy', 'max_depth': 3, 'min_samples_split': 7, 'min_samples_leaf': 5, 'max_features': 0.4482176763721589, 'min_impurity_decrease': 0.0016144078034214986, 'ccp_alpha': 1.6539436517500896e-05}. Best is trial 23 with value: 0.38183029867920126.
