[2026-07-12 19:37:58] [Ensayo] A new study created in memory with name: xgb_optimization
[2026-07-12 19:39:26] [Ensayo] Trial 12 finished with value: 0.4049683409840865 and parameters: {'n_estimators': 300, 'max_depth': 8, 'learning_rate': 0.15149988937382092, 'gamma': 0.07765631125039052, 'reg_lambda': 0.015599557564212925, 'reg_alpha': 0.013536103585954659, 'subsample': 0.6051865218909668, 'colsample_bytree': 0.7357976059774347, 'min_child_weight': 3.522006516715334, 'max_delta_step': 3.1934432576149976, 'max_bin': 64}. Best is trial 5 with value: 0.43297520576575793.
[2026-07-12 19:39:30] [Ensayo] Trial 13 finished with value: 0.43391387977745566 and parameters: {'n_estimators': 600, 'max_depth': 8, 'learning_rate': 0.14224252587647754, 'gamma': 1.0879110366610167, 'reg_lambda': 0.3142332787881059, 'reg_alpha': 0.014632687410812813, 'subsample': 0.8858353206401884, 'colsample_bytree': 0.9265708219801951, 'min_child_weight': 19.225126885661258, 'max_delta_step': 2.5932745703156037, 'max_bin': 256}. Best is trial 13 with value: 0.43391387977745566.
[2026-07-12 19:39:34] [Ensayo] Trial 14 finished with value: 0.43352344833752754 and parameters: {'n_estimators': 600, 'max_depth': 7, 'learning_rate': 0.10023220109456474, 'gamma': 0.8932642116131816, 'reg_lambda': 0.47763588607883006, 'reg_alpha': 0.0031106028930171217, 'subsample': 0.8949547843071138, 'colsample_bytree': 0.9298635951609321, 'min_child_weight': 48.83400095963914, 'max_delta_step': 2.5704209918364422, 'max_bin': 256}. Best is trial 13 with value: 0.43391387977745566.
[2026-07-12 19:39:40] [Ensayo] Trial 15 finished with value: 0.43294856960603256 and parameters: {'n_estimators': 650, 'max_depth': 10, 'learning_rate': 0.07130055711302456, 'gamma': 1.600356915551966, 'reg_lambda': 0.6461695666901376, 'reg_alpha': 0.0013947637143119033, 'subsample': 0.9163177615663699, 'colsample_bytree': 0.9290827541394506, 'min_child_weight': 39.410447357574796, 'max_delta_step': 2.46881782877369, 'max_bin': 256}. Best is trial 13 with value: 0.43391387977745566.
[2026-07-12 19:39:48] [Ensayo] Trial 16 finished with value: 0.433845322681378 and parameters: {'n_estimators': 550, 'max_depth': 8, 'learning_rate': 0.032268279156585006, 'gamma': 0.8424625014194829, 'reg_lambda': 0.497205716944968, 'reg_alpha': 0.00346934244155264, 'subsample': 0.925611474750443, 'colsample_bytree': 0.8430687405290794, 'min_child_weight': 45.26892026942898, 'max_delta_step': 4.479082928042996, 'max_bin': 256}. Best is trial 13 with value: 0.43391387977745566.
[2026-07-12 19:39:54] [Ensayo] Trial 17 finished with value: 0.43285071546471626 and parameters: {'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.027761101738766083, 'gamma': 1.9373013406655333, 'reg_lambda': 0.7219477772229099, 'reg_alpha': 0.06098512491587771, 'subsample': 0.9542289363273698, 'colsample_bytree': 0.8351701427299704, 'min_child_weight': 27.147631745507717, 'max_delta_step': 4.5674111502031005, 'max_bin': 256}. Best is trial 13 with value: 0.43391387977745566.
[2026-07-12 19:40:00] [Ensayo] Trial 18 finished with value: 0.4333330987056255 and parameters: {'n_estimators': 300, 'max_depth': 9, 'learning_rate': 0.039666329714007485, 'gamma': 0.5446742597640264, 'reg_lambda': 0.19244977367954552, 'reg_alpha': 0.004401403705860724, 'subsample': 0.8550098585966828, 'colsample_bytree': 0.7720302748420111, 'min_child_weight': 2.1518212764175266, 'max_delta_step': 5.83772383236317, 'max_bin': 256}. Best is trial 13 with value: 0.43391387977745566.
[2026-07-12 19:40:10] [Ensayo] Trial 19 finished with value: 0.43291604549202745 and parameters: {'n_estimators': 650, 'max_depth': 8, 'learning_rate': 0.017418520117487624, 'gamma': 1.2561707511967006, 'reg_lambda': 1.4074928684799513, 'reg_alpha': 0.026074662640658375, 'subsample': 0.9418989078695966, 'colsample_bytree': 0.8815547204353443, 'min_child_weight': 45.606369520467716, 'max_delta_step': 3.726486750455771, 'max_bin': 32}. Best is trial 13 with value: 0.43391387977745566.
[2026-07-12 19:40:15] [Ensayo] Trial 20 finished with value: 0.4324209313763321 and parameters: {'n_estimators': 750, 'max_depth': 6, 'learning_rate': 0.13057627545953954, 'gamma': 2.2790049590977945, 'reg_lambda': 0.07474545084374191, 'reg_alpha': 0.003795864831544187, 'subsample': 0.771714931487174, 'colsample_bytree': 0.8798551911121772, 'min_child_weight': 26.65900533789015, 'max_delta_step': 1.6684912700702754, 'max_bin': 256}. Best is trial 13 with value: 0.43391387977745566.
[2026-07-12 19:40:19] [Ensayo] Trial 21 finished with value: 0.4335741874050901 and parameters: {'n_estimators': 550, 'max_depth': 6, 'learning_rate': 0.09604142899493394, 'gamma': 0.7801880270752457, 'reg_lambda': 0.30116197356621127, 'reg_alpha': 0.0031421831421432275, 'subsample': 0.8939273142294223, 'colsample_bytree': 0.9443312493893109, 'min_child_weight': 49.456770373133914, 'max_delta_step': 2.6693253167401543, 'max_bin': 256}. Best is trial 13 with value: 0.43391387977745566.
[2026-07-12 19:40:28] [Ensayo] Trial 22 finished with value: 0.43483862906339094 and parameters: {'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.04334282236278168, 'gamma': 0.057935043049646584, 'reg_lambda': 0.21788701000289856, 'reg_alpha': 0.0022909904871929636, 'subsample': 0.9329430621691924, 'colsample_bytree': 0.9896216370698313, 'min_child_weight': 46.854102537388236, 'max_delta_step': 4.13676942289669, 'max_bin': 256}. Best is trial 22 with value: 0.43483862906339094.
[2026-07-12 19:40:33] [Ensayo] Trial 23 finished with value: 0.4260294939890349 and parameters: {'n_estimators': 350, 'max_depth': 5, 'learning_rate': 0.010042405284591688, 'gamma': 0.07951215127717726, 'reg_lambda': 1.3145478104935966, 'reg_alpha': 0.006951281389809341, 'subsample': 0.9432132944112515, 'colsample_bytree': 0.9957828432581598, 'min_child_weight': 29.66456550088167, 'max_delta_step': 4.25374467586665, 'max_bin': 256}. Best is trial 22 with value: 0.43483862906339094.
[2026-07-12 19:40:40] [Ensayo] Trial 24 finished with value: 0.4339456216689771 and parameters: {'n_estimators': 500, 'max_depth': 8, 'learning_rate': 0.050404389970340635, 'gamma': 1.2542587267113192, 'reg_lambda': 0.07939017504275128, 'reg_alpha': 0.001647989556033864, 'subsample': 0.8676857345639946, 'colsample_bytree': 0.9654649275064234, 'min_child_weight': 12.126636213970816, 'max_delta_step': 0.18912221090289982, 'max_bin': 256}. Best is trial 22 with value: 0.43483862906339094.
[2026-07-12 19:40:47] [Ensayo] Trial 25 finished with value: 0.4342277801440588 and parameters: {'n_estimators': 450, 'max_depth': 9, 'learning_rate': 0.05986501572340656, 'gamma': 1.3596154675793504, 'reg_lambda': 0.06195044537908424, 'reg_alpha': 0.0017695383599503464, 'subsample': 0.8550077458498535, 'colsample_bytree': 0.9685595070401826, 'min_child_weight': 8.834101480591983, 'max_delta_step': 0.18088073977064356, 'max_bin': 256}. Best is trial 22 with value: 0.43483862906339094.
[2026-07-12 19:40:50] [Ensayo] Trial 26 finished with value: 0.35587509508078063 and parameters: {'n_estimators': 200, 'max_depth': 10, 'learning_rate': 0.056613198934126356, 'gamma': 0.41785310800666564, 'reg_lambda': 0.055979946889199966, 'reg_alpha': 0.0017775570190098084, 'subsample': 0.8504304563447019, 'colsample_bytree': 0.9655949980415466, 'min_child_weight': 7.327006047540322, 'max_delta_step': 0.1077453992281293, 'max_bin': 64}. Best is trial 22 with value: 0.43483862906339094.
[2026-07-12 19:40:56] [Ensayo] Trial 27 finished with value: 0.43295058306876777 and parameters: {'n_estimators': 450, 'max_depth': 9, 'learning_rate': 0.042877653356135095, 'gamma': 1.5546328690335454, 'reg_lambda': 0.03756780508947145, 'reg_alpha': 0.0010492618303008172, 'subsample': 0.7764271142835945, 'colsample_bytree': 0.9934165799345365, 'min_child_weight': 3.94708650077905, 'max_delta_step': 0.16285025215332238, 'max_bin': 256}. Best is trial 22 with value: 0.43483862906339094.
