fold,dataset_tag,dt_prauc,dt_precision,dt_recall,dt_f1,dt_f2,dt_mcc,dt_threshold,xgb_prauc,xgb_precision,xgb_recall,xgb_f1,xgb_f2,xgb_mcc,xgb_threshold
0,full,0.4005121737186124,0.2856629278113316,0.8029506871463218,0.4214043275350021,0.5894658753709199,0.3390573902017333,0.5,0.434912712911507,0.0,0.0,0.0,0.0,-0.0021349545885571745,0.5
1,full,0.39974115393322784,0.29029352150739435,0.7815278900565885,0.4233400842958016,0.5839096427385015,0.3377675373858011,0.5,0.4266637159162721,1.0,0.0004042037186742118,0.0008080808080808081,0.000505203597049611,0.01865232096777003,0.5
2,full,0.4118201639684646,0.29859262076835297,0.7932497978981407,0.43386945227436025,0.5958344718705407,0.35257794346425547,0.5,0.4452392887806692,1.0,0.0004042037186742118,0.0008080808080808081,0.000505203597049611,0.01865232096777003,0.5
3,full,0.4005299982437427,0.29925535215637605,0.7795514245302081,0.43248696821927024,0.5901248164464024,0.3485643804236646,0.5,0.43581675749066723,0.0,0.0,0.0,0.0,0.0,0.5
4,full,0.4105588786031649,0.3053298667533312,0.7593453222873308,0.43553340673349944,0.585285322701221,0.34903949008514334,0.5,0.4408379309106001,1.0,0.0006061830672863204,0.0012116316639741518,0.000757614020910147,0.022841974314157774,0.5
